"SURVEY_SPECIES","SPECIES_NAME","COMMON_NAME","SPECIES_CODE","ID_RANK","DATABASE","DATABASE_ID","GENUS_TAXON","SUBFAMILY_TAXON","FAMILY_TAXON","SUPERFAMILY_TAXON","INFRAORDER_TAXON","SUBORDER_TAXON","ORDER_TAXON","SUPERORDER_TAXON","INFRACLASS_TAXON","SUBCLASS_TAXON","CLASS_TAXON","SUPERCLASS_TAXON","SUBPHYLUM_TAXON","PHYLUM_TAXON","KINGDOM_TAXON"
1,"Clidoderma asperrimum","roughscale sole",10240,"species","WORMS",280216,"Clidoderma","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Clidoderma asperrimum","roughscale sole",10240,"species","ITIS",172864,"Clidoderma","Hippoglossinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Psettichthys melanostictus","sand sole",10250,"species","WORMS",282396,"Psettichthys","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Psettichthys melanostictus","sand sole",10250,"species","ITIS",172928,"Psettichthys","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Lepidopsetta sp.","rock sole unid.",10260,"genus","WORMS",269638,"Lepidopsetta","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Lepidopsetta sp.","rock sole unid.",10260,"genus","ITIS",172879,"Lepidopsetta","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Lepidopsetta polyxystra","northern rock sole",10261,"species","WORMS",281307,"Lepidopsetta","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Lepidopsetta polyxystra","northern rock sole",10261,"species","ITIS",616392,"Lepidopsetta","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"","fish egg unid.",1,"","WORMS",,"","","","","","","","","","","","","Vertebrata","Chordata","Animalia"
1,"","fish larvae unid.",2,"","WORMS",,"","","","","","","","","","","","","Vertebrata","Chordata","Animalia"
1,"","fish unid.",3,"","WORMS",,"","","","","","","","","","","","","Vertebrata","Chordata","Animalia"
1,"Petromyzontidae","lamprey unid.",10,"family","WORMS",101163,"","","Petromyzontidae","","","","Petromyzontiformes","","","","Petromyzonti","Cyclostomi","Vertebrata","Chordata","Animalia"
0,"Petromyzontidae","lamprey unid.",10,"family","ITIS",159697,"","","Petromyzontidae","","","","Petromyzontiformes","","","","Cephalaspidomorphi","","Vertebrata","Chordata","Animalia"
1,"Entosphenus tridentatus","Pacific lamprey",21,"species","WORMS",314348,"Entosphenus","","Petromyzontidae","","","","Petromyzontiformes","","","","Petromyzonti","Cyclostomi","Vertebrata","Chordata","Animalia"
0,"Entosphenus tridentatus","Pacific lamprey",21,"species","ITIS",159699,"Entosphenus","","Petromyzontidae","","","","Petromyzontiformes","","","","Cephalaspidomorphi","","Vertebrata","Chordata","Animalia"
1,"Myxinidae","hagfish unid.",100,"family","WORMS",101162,"","","Myxinidae","","","","Myxiniformes","","","","Myxini","Cyclostomi","Vertebrata","Chordata","Animalia"
0,"Myxinidae","hagfish unid.",100,"family","ITIS",159753,"","","Myxinidae","","","","Myxiniformes","","","","Myxini","","Vertebrata","Chordata","Animalia"
1,"Eptatretus sp.","",109,"genus","WORMS",206895,"Eptatretus","Eptatretinae","Myxinidae","","","","Myxiniformes","","","","Myxini","Cyclostomi","Vertebrata","Chordata","Animalia"
0,"Eptatretus sp.","",109,"genus","ITIS",159754,"Eptatretus","Eptatretinae","Myxinidae","","","","Myxiniformes","","","","Myxini","","Vertebrata","Chordata","Animalia"
1,"Eptatretus deani","black hagfish",110,"species","WORMS",279277,"Eptatretus","Eptatretinae","Myxinidae","","","","Myxiniformes","","","","Myxini","Cyclostomi","Vertebrata","Chordata","Animalia"
0,"Eptatretus deani","black hagfish",110,"species","ITIS",159756,"Eptatretus","Eptatretinae","Myxinidae","","","","Myxiniformes","","","","Myxini","","Vertebrata","Chordata","Animalia"
1,"Eptatretus stoutii","Pacific hagfish",120,"species","WORMS",279298,"Eptatretus","Eptatretinae","Myxinidae","","","","Myxiniformes","","","","Myxini","Cyclostomi","Vertebrata","Chordata","Animalia"
0,"Eptatretus stoutii","Pacific hagfish",120,"species","ITIS",622244,"Eptatretus","Eptatretinae","Myxinidae","","","","Myxiniformes","","","","Myxini","","Vertebrata","Chordata","Animalia"
1,"Selachii","shark unid.",150,"infraclass","WORMS",368408,"","","","","","","","","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Selachii","shark unid.",150,"superorder","ITIS",563987,"","","","","","","","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Chondrichthyes","cartilaginous fish unid.",151,"parvphylum","WORMS",1517375,"","","","","","","","","","","","","Vertebrata","Chordata","Animalia"
0,"Chondrichthyes","cartilaginous fish unid.",151,"class","ITIS",159785,"","","","","","","","","","","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Selachii egg case","shark egg case unid.",160,"infraclass","WORMS",,"","","","","","","","","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Alopias vulpinus","thresher shark",180,"species","WORMS",105836,"Alopias","","Alopiidae","","","","Lamniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Alopias vulpinus","thresher shark",180,"species","ITIS",159916,"Alopias","","Alopiidae","","","","Lamniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Scyliorhinidae","cat shark unid.",200,"family","WORMS",105693,"","","Scyliorhinidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Scyliorhinidae","cat shark unid.",200,"family","ITIS",159985,"","","Scyliorhinidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Apristurus brunneus egg case","brown cat shark egg case",201,"species","WORMS",,"Apristurus","","Pentanchidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Apristurus brunneus","brown cat shark",210,"species","WORMS",158512,"Apristurus","","Pentanchidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Apristurus brunneus","brown cat shark",210,"species","ITIS",159988,"Apristurus","","Scyliorhinidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Parmaturus xaniurus","filetail cat shark",211,"species","WORMS",282166,"Parmaturus","","Pentanchidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Parmaturus xaniurus","filetail cat shark",211,"species","ITIS",160108,"Parmaturus","","Scyliorhinidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Apristurus kampae","longnose cat shark",212,"species","WORMS",271342,"Apristurus","","Pentanchidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Apristurus kampae","longnose cat shark",212,"species","ITIS",160002,"Apristurus","","Scyliorhinidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Apristurus sp.","",213,"genus","WORMS",105727,"Apristurus","","Pentanchidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Apristurus sp.","",213,"genus","ITIS",159987,"Apristurus","","Scyliorhinidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Cephaloscyllium ventriosum","swell shark",214,"species","WORMS",277105,"Cephaloscyllium","","Scyliorhinidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Cephaloscyllium ventriosum","swell shark",214,"species","ITIS",160089,"Cephaloscyllium","","Scyliorhinidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Hexanchus griseus","sixgill shark",222,"species","WORMS",105833,"Hexanchus","","Hexanchidae","","","","Hexanchiformes","Squalomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Hexanchus griseus","sixgill shark",222,"species","ITIS",159819,"Hexanchus","","Hexanchidae","","","","Hexanchiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Lamna ditropis","salmon shark",232,"species","WORMS",271421,"Lamna","","Lamnidae","","","","Lamniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Lamna ditropis","salmon shark",232,"species","ITIS",159910,"Lamna","","Lamnidae","","","","Lamniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Cetorhinus maximus","basking shark",242,"species","WORMS",105837,"Cetorhinus","","Cetorhinidae","","","","Lamniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Cetorhinus maximus","basking shark",242,"species","ITIS",159907,"Cetorhinus","","Cetorhinidae","","","","Lamniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Squatina californica","Pacific angel shark",252,"species","WORMS",271667,"Squatina","","Squatinidae","","","","Squatiniformes","Squalomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Squatina californica","Pacific angel shark",252,"species","ITIS",160785,"Squatina","","Squatinidae","","","","Squatiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Squalus suckleyi","spiny dogfish",310,"species","WORMS",299224,"Squalus","","Squalidae","","","","Squaliformes","Squalomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Squalus suckleyi","spiny dogfish",310,"species","ITIS",160620,"Squalus","","Squalidae","","","","Squaliformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Centroscyllium nigrum","combtooth dogfish",311,"species","WORMS",271623,"Centroscyllium","","Etmopteridae","","","","Squaliformes","Squalomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Centroscyllium nigrum","combtooth dogfish",311,"species","ITIS",160706,"Centroscyllium","","Etmopteridae","","","","Squaliformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Somniosus pacificus","Pacific sleeper shark",320,"species","WORMS",271654,"Somniosus","","Somniosidae","","","","Squaliformes","Squalomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Somniosus pacificus","Pacific sleeper shark",320,"species","ITIS",160610,"Somniosus","","Somniosidae","","","","Squaliformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Galeorhinus galeus","soupfin shark",332,"species","WORMS",105820,"Galeorhinus","Galeorhininae","Triakidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Galeorhinus galeus","soupfin shark",332,"species","ITIS",160181,"Galeorhinus","","Triakidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Mustelus sp.","",339,"genus","WORMS",105732,"Mustelus","Triakinae","Triakidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Mustelus sp.","",339,"genus","ITIS",160226,"Mustelus","","Triakidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Mustelus henlei","brown smoothhound",340,"species","WORMS",271386,"Mustelus","Triakinae","Triakidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Mustelus henlei","brown smoothhound",340,"species","ITIS",160236,"Mustelus","","Triakidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Mustelus californicus","gray smoothhound",341,"species","WORMS",271381,"Mustelus","Triakinae","Triakidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Mustelus californicus","gray smoothhound",341,"species","ITIS",160235,"Mustelus","","Triakidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Prionace glauca","blue shark",351,"species","WORMS",105801,"Prionace","","Carcharhinidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Prionace glauca","blue shark",351,"species","ITIS",160424,"Prionace","","Carcharhinidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Triakis semifasciata","leopard shark",355,"species","WORMS",279060,"Triakis","Triakinae","Triakidae","","","","Carcharhiniformes","Galeomorphi","Selachii","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Triakis semifasciata","leopard shark",355,"species","ITIS",160448,"Triakis","","Triakidae","","","","Carcharhiniformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Rajidae","skate unid.",400,"family","WORMS",105711,"","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Rajidae","skate unid.",400,"family","ITIS",160845,"","","Rajidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Rajiformes egg case","skate egg case unid.",401,"order","WORMS",,"","","","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Bathyraja sp. egg case","Bathyraja sp. egg case",402,"species","WORMS",,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Raja sp. egg case","Raja sp. egg case",403,"species","WORMS",,"Raja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Raja sp.","",404,"genus","WORMS",105766,"Raja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Raja sp.","",404,"genus","ITIS",160846,"Raja","","Rajidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Bathyraja sp.","",405,"genus","WORMS",105761,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Bathyraja sp.","",405,"genus","ITIS",160928,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Bathyraja spinosissima","white skate",406,"species","WORMS",271536,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Bathyraja spinosissima","white skate",406,"species","ITIS",160933,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Bathyraja abyssicola","deepsea skate",410,"species","WORMS",271503,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Bathyraja abyssicola","deepsea skate",410,"species","ITIS",564114,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Bathyraja abyssicola egg case","deepsea skate egg case",411,"species","WORMS",,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Beringraja binoculata","big skate",420,"species","WORMS",1021330,"Beringraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Beringraja binoculata egg case","big skate egg case",421,"species","WORMS",,"Beringraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Beringraja inornata","California skate",425,"species","WORMS",1461134,"Beringraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Raja inornata","California skate",425,"species","ITIS",160849,"Raja","","Rajidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Bathyraja interrupta","Bering skate",435,"species","WORMS",271515,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Bathyraja interrupta","Bering skate",435,"species","ITIS",160937,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Bathyraja interrupta egg case","Bering skate egg case",436,"species","WORMS",,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Beringraja rhina","longnose skate",440,"species","WORMS",1461133,"Beringraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Beringraja rhina egg case","longnose skate egg case",441,"species","WORMS",,"Beringraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Amblyraja hyperborea","roughshoulder skate",445,"species","WORMS",105863,"Amblyraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Amblyraja hyperborea","roughshoulder skate",445,"species","ITIS",564138,"Amblyraja","","Rajidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Amblyraja hyperborea egg case","roughshoulder skate egg case",446,"species","WORMS",,"Amblyraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
1,"Beringraja stellulata","starry skate",450,"species","WORMS",1461135,"Beringraja","","Rajidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
0,"Raja stellulata","starry skate",450,"species","ITIS",160854,"Raja","","Rajidae","","","","Rajiformes","Euselachii","","Elasmobranchii","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
1,"Bathyraja taranetzi","mud skate",455,"species","WORMS",298834,"Bathyraja","","Arhynchobatidae","","","","Rajiformes","","Batoidea","Neoselachii","Elasmobranchii","","Vertebrata","Chordata","Animalia"
